OTU	Test-Statistic	P	FDR_P	Bonferroni_P	bushes_mean	none_mean	mycelium_mean	tree_mean	shrubs_mean	grass_mean
k__Bacteria;p__Elusimicrobia	5.32306462056	0.377737606699	0.755475213399	1.0	0.00213287307913	0.00155463678987	0.0	0.001246944369	0.0020248008657	0.00210268557748
k__Bacteria;p__MVP-21	4.97522904062	0.418910754753	0.796155748331	1.0	0.0	7.57952436969e-07	0.0	6.17299192573e-06	4.15424719848e-06	3.23737076236e-05
k__Bacteria;p__TM7	4.91362732896	0.426512008034	0.796155748331	1.0	4.29214075969e-05	8.97509870356e-05	0.0	6.7902911183e-05	0.000155716994984	0.00022993369893
k__Bacteria;p__GN04	4.48903331202	0.481352082997	0.869539246705	1.0	0.0	5.95129909851e-06	0.0	0.0	7.07584999322e-06	7.09397417488e-05
k__Bacteria;p__OP11	3.99655550384	0.549911982511	0.948651453935	1.0	0.0	8.29841017035e-06	0.0	0.0	1.55559942502e-05	2.94418370407e-05
k__Bacteria;p__Actinobacteria	3.84048093083	0.572603907489	0.948651453935	1.0	0.135607829152	0.134132390024	0.168595041322	0.180146423368	0.140555401681	0.125509389297
k__Archaea;p__[Parvarchaeota]	3.38924967878	0.640207735849	0.948651453935	1.0	2.04292874265e-05	1.74800532556e-05	0.0	6.17299192573e-06	2.2244093284e-05	1.19152250956e-05
k__Bacteria;p__Deferribacteres	3.34056399132	0.647637309508	0.948651453935	1.0	0.0	0.0	0.0	0.0	0.0	0.000111302765096
k__Bacteria;p__Firmicutes	3.22708209438	0.665022518675	0.948651453935	1.0	0.00921031224735	0.014578724238	0.00330578512397	0.0135991012124	0.0115538868199	0.0923890070418
k__Bacteria;p__PAUC34f	3.00326961222	0.699481726137	0.948651453935	1.0	0.0	4.59868523354e-06	0.0	0.0	0.0	3.83612091453e-07
k__Bacteria;p__FCPU426	2.99978472844	0.700019026519	0.948651453935	1.0	0.0	5.85587854209e-05	0.0	0.0	7.70176253903e-05	0.000462842215702
k__Bacteria;p__AC1	2.84615384615	0.723689888743	0.948651453935	1.0	0.0	5.82031861588e-07	0.0	0.0	0.0	0.0
k__Bacteria;p__GOUTA4	2.84615384615	0.723689888743	0.948651453935	1.0	0.0	9.894541647e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__OP8	2.84615384615	0.723689888743	0.948651453935	1.0	0.0	8.69427998972e-07	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi	2.79593018746	0.731411740184	0.948651453935	1.0	0.0264222189179	0.0285268496567	0.0132231404959	0.0341304723573	0.0280020468245	0.0279276926439
